Date,Autres electricite,Chauffage,Eclairage,Froid,Prise de Courant,Ventilation,Totale
2020-01-01 00:00:00+00:00,452.90625,204.75,4.8125,0.0,8.5625,10.25,681.28125
2020-01-01 01:00:00+00:00,461.40625,188.75,2.1875,0.0,11.75,2.875,666.96875
2020-01-01 02:00:00+00:00,448.25,255.0,2.1875,0.0,9.3125,18.75,733.5
2020-01-01 03:00:00+00:00,457.21875,238.0,4.125,0.0,10.125,8.875,718.34375
2020-01-01 04:00:00+00:00,460.46875,238.0,3.1875,0.0,9.875,5.125,716.65625
2020-01-01 05:00:00+00:00,455.21875,238.25,3.5625,0.0,10.75,9.125,716.90625
2020-01-01 06:00:00+00:00,451.34375,221.5,3.9375,0.0,12.5,12.25,701.53125
2020-01-01 07:00:00+00:00,459.46875,255.25,5.875,0.0,9.5,11.875,741.96875
2020-01-01 08:00:00+00:00,460.1875,221.75,11.1875,0.0,12.0,8.375,713.5
2020-01-01 09:00:00+00:00,464.96875,221.5,7.5625,0.0,12.5,3.125,709.65625
2020-01-01 10:00:00+00:00,448.90625,271.25,11.8125,0.0,11.0625,12.125,755.15625
2020-01-01 11:00:00+00:00,451.53125,188.75,8.0625,0.0,10.6875,13.25,672.28125
2020-01-01 12:00:00+00:00,452.09375,171.5,8.3125,0.0,12.875,6.875,651.65625
2020-01-01 13:00:00+00:00,446.34375,172.75,7.375,0.0,10.875,8.0,645.34375
2020-01-01 14:00:00+00:00,452.0,121.75,9.75,0.0,10.375,11.5,605.375
2020-01-01 15:00:00+00:00,455.71875,171.5,7.8125,0.0,12.3125,8.25,655.59375
2020-01-01 16:00:00+00:00,462.28125,121.75,8.5,0.0,10.4375,8.5,611.46875
2020-01-01 17:00:00+00:00,452.15625,171.5,9.8125,0.0,12.1875,11.75,657.40625
2020-01-01 18:00:00+00:00,454.96875,171.5,12.5,0.0,11.125,10.0,660.09375
2020-01-01 19:00:00+00:00,457.34375,189.0,12.4375,0.0,11.9375,10.625,681.34375
2020-01-01 20:00:00+00:00,457.84375,221.5,12.5,0.0,11.75,7.375,710.96875
2020-01-01 21:00:00+00:00,457.8125,188.25,10.0,0.0,10.5625,10.875,677.5
2020-01-01 22:00:00+00:00,455.21875,205.25,9.6875,0.0,8.4375,9.0,687.59375
2020-01-01 23:00:00+00:00,455.40625,204.75,3.9375,0.0,9.75,8.0,681.84375
2020-01-02 00:00:00+00:00,461.71875,222.0,2.0625,0.0,12.0,4.25,702.03125
2020-01-02 01:00:00+00:00,447.65625,204.5,2.6875,0.0,10.375,16.375,681.59375
2020-01-02 02:00:00+00:00,456.40625,205.25,3.0,0.0,9.5,9.75,683.90625
2020-01-02 03:00:00+00:00,458.3125,238.25,2.1875,0.0,10.5,7.5,716.75
2020-01-02 04:00:00+00:00,453.84375,205.25,3.0,0.0,11.75,8.75,682.59375
2020-01-02 05:00:00+00:00,457.96875,221.75,2.25,0.0,10.25,8.75,700.96875
2020-01-02 06:00:00+00:00,451.65625,222.0,5.125,0.0,9.4375,12.75,700.96875
2020-01-02 07:00:00+00:00,465.03125,221.75,3.625,0.0,9.5625,8.625,708.59375
2020-01-02 08:00:00+00:00,462.03125,221.5,11.5,0.0,11.375,5.5,711.90625
2020-01-02 09:00:00+00:00,452.1875,221.5,11.375,0.0,13.0625,13.75,711.875
2020-01-02 10:00:00+00:00,461.59375,239.25,8.375,0.0,10.1875,9.5,728.90625
2020-01-02 11:00:00+00:00,462.78125,238.5,10.125,0.0,12.4375,1.75,725.59375
2020-01-02 12:00:00+00:00,453.84375,171.0,8.1875,0.0,12.6875,12.625,658.34375
2020-01-02 13:00:00+00:00,456.46875,222.25,11.25,0.0,10.375,11.625,711.96875
2020-01-02 14:00:00+00:00,452.21875,188.5,10.0,0.0,11.5,10.875,673.09375
2020-01-02 15:00:00+00:00,454.53125,205.0,11.25,0.0,11.6875,10.0,692.46875
2020-01-02 16:00:00+00:00,457.5625,222.25,10.9375,0.0,13.125,6.125,710.0
2020-01-02 17:00:00+00:00,457.21875,171.5,10.75,0.0,9.1875,13.875,662.53125
2020-01-02 18:00:00+00:00,458.34375,238.25,15.0625,0.0,12.6875,8.375,732.71875
2020-01-02 19:00:00+00:00,458.09375,172.5,13.4375,0.0,10.75,7.375,662.15625
2020-01-02 20:00:00+00:00,454.46875,205.0,12.5625,0.0,11.6875,12.25,695.96875
2020-01-02 21:00:00+00:00,459.46875,205.5,11.75,0.0,8.6875,10.125,695.53125
2020-01-02 22:00:00+00:00,455.5625,205.0,10.625,0.0,11.75,6.5,689.4375
2020-01-02 23:00:00+00:00,459.40625,238.5,5.375,0.0,10.25,7.375,720.90625
2020-01-03 00:00:00+00:00,447.90625,188.25,4.25,0.0,10.25,14.375,665.03125
2020-01-03 01:00:00+00:00,457.84375,238.5,4.1875,0.0,10.4375,9.0,719.96875
2020-01-03 02:00:00+00:00,455.34375,205.0,4.0,0.0,11.25,8.0,683.59375
2020-01-03 03:00:00+00:00,461.34375,204.75,4.1875,0.0,10.9375,2.375,683.59375
2020-01-03 04:00:00+00:00,444.5,255.0,5.375,0.0,10.875,18.5,734.25
2020-01-03 05:00:00+00:00,461.59375,205.25,4.375,0.0,8.5625,7.25,687.03125
2020-01-03 06:00:00+00:00,464.90625,238.0,6.4375,0.0,12.8125,3.25,725.40625
2020-01-03 07:00:00+00:00,454.96875,221.5,10.0,0.0,13.875,11.375,711.71875
2020-01-03 08:00:00+00:00,454.65625,238.75,15.4375,0.0,11.75,14.625,735.21875
2020-01-03 09:00:00+00:00,461.65625,255.0,11.8125,0.0,10.8125,8.0,747.28125
2020-01-03 10:00:00+00:00,459.53125,272.25,11.6875,0.0,11.625,13.375,768.46875
2020-01-03 11:00:00+00:00,459.9375,321.5,10.5,0.0,12.0,9.75,813.6875
2020-01-03 12:00:00+00:00,457.78125,272.0,11.625,0.0,10.25,6.875,758.53125
2020-01-03 13:00:00+00:00,456.84375,222.0,9.0625,0.0,13.0,18.5,719.40625
2020-01-03 14:00:00+00:00,500.96875,238.5,10.9375,0.0,11.8125,6.75,768.96875
2020-01-03 15:00:00+00:00,461.46875,222.0,10.0,0.0,12.625,13.0,719.09375
2020-01-03 16:00:00+00:00,447.96875,272.0,10.375,0.0,12.0,23.875,766.21875
2020-01-03 17:00:00+00:00,461.5,271.75,10.9375,0.0,11.5625,16.625,772.375
2020-01-03 18:00:00+00:00,463.09375,272.25,15.25,0.0,11.125,13.25,774.96875
2020-01-03 19:00:00+00:00,457.78125,255.5,14.0,0.0,10.875,16.875,755.03125
2020-01-03 20:00:00+00:00,458.59375,205.0,11.6875,0.0,10.9375,15.125,701.34375
2020-01-03 21:00:00+00:00,455.21875,172.0,12.125,0.0,11.75,12.25,663.34375
2020-01-03 22:00:00+00:00,460.15625,155.25,9.3125,0.0,10.0625,8.625,643.40625
2020-01-03 23:00:00+00:00,453.75,139.25,5.125,0.0,10.75,14.875,623.75
2020-01-04 00:00:00+00:00,455.28125,188.5,4.0,0.0,9.8125,15.75,673.34375
2020-01-04 01:00:00+00:00,452.96875,171.5,3.625,0.0,10.6875,13.5,652.28125
2020-01-04 02:00:00+00:00,460.90625,188.25,3.5,0.0,9.875,8.5,671.03125
2020-01-04 03:00:00+00:00,445.78125,171.25,2.8125,0.0,10.375,22.5,652.71875
2020-01-04 04:00:00+00:00,456.46875,171.75,3.0625,0.0,12.0,10.75,654.03125
2020-01-04 05:00:00+00:00,456.5,188.5,3.1875,0.0,9.0625,13.375,670.625
2020-01-04 06:00:00+00:00,452.09375,189.25,4.25,0.0,10.4375,15.25,671.28125
2020-01-04 07:00:00+00:00,461.46875,221.75,2.6875,0.0,9.6875,13.625,709.21875
2020-01-04 08:00:00+00:00,458.78125,288.5,3.5625,0.0,10.0,10.25,771.09375
2020-01-04 09:00:00+00:00,455.90625,238.25,4.0,0.0,10.25,9.875,718.28125
2020-01-04 10:00:00+00:00,455.84375,222.5,2.6875,0.0,11.5625,7.75,700.34375
2020-01-04 11:00:00+00:00,453.96875,105.25,3.0625,0.0,11.9375,6.875,581.09375
2020-01-04 12:00:00+00:00,455.5625,105.25,2.9375,0.0,11.0625,6.25,581.0625
2020-01-04 13:00:00+00:00,448.84375,122.0,4.375,0.0,12.5,7.125,594.84375
2020-01-04 14:00:00+00:00,457.03125,105.25,3.125,0.0,10.375,7.125,582.90625
2020-01-04 15:00:00+00:00,457.15625,155.25,2.5,0.0,10.875,6.25,632.03125
2020-01-04 16:00:00+00:00,457.53125,138.75,3.125,0.0,9.6875,6.5,615.59375
2020-01-04 17:00:00+00:00,456.15625,171.5,4.5,0.0,10.1875,7.125,649.46875
2020-01-04 18:00:00+00:00,460.1875,188.75,2.75,0.0,11.875,7.5,671.0625
2020-01-04 19:00:00+00:00,456.34375,172.0,3.125,0.0,10.9375,8.375,650.78125
2020-01-04 20:00:00+00:00,461.28125,205.0,3.3125,0.0,10.0,6.75,686.34375
2020-01-04 21:00:00+00:00,455.84375,205.5,3.125,0.0,11.5625,7.5,683.53125
2020-01-04 22:00:00+00:00,454.40625,188.75,4.8125,0.0,11.0625,8.375,667.40625
2020-01-04 23:00:00+00:00,463.53125,255.0,3.3125,0.0,9.3125,6.375,737.53125
2020-01-05 00:00:00+00:00,462.5,272.25,3.875,0.0,10.25,21.0,769.875
2020-01-05 13:00:00+00:00,447.125,289.0,2.8125,0.0,11.25,53.75,803.9375
2020-01-05 14:00:00+00:00,452.78125,288.5,4.1875,0.0,12.9375,56.625,815.03125
2020-01-05 15:00:00+00:00,458.65625,322.5,2.75,0.0,16.0625,53.625,853.59375
2020-01-05 16:00:00+00:00,477.84375,255.25,3.25,0.0,16.125,41.25,793.71875
2020-01-05 17:00:00+00:00,439.46875,355.25,3.1875,0.0,17.375,67.75,883.03125
2020-01-05 18:00:00+00:00,461.96875,372.0,3.8125,0.0,14.75,55.875,908.40625
2020-01-05 19:00:00+00:00,464.9375,388.5,3.75,0.0,18.4375,55.375,931.0
2020-01-05 20:00:00+00:00,450.28125,405.5,2.75,0.0,15.125,59.125,932.78125
2020-01-05 21:00:00+00:00,447.40625,405.5,3.0625,0.0,13.0,67.75,936.71875
2020-01-05 23:00:00+00:00,461.65625,405.75,3.6875,0.0,9.875,55.75,936.71875
2020-01-06 10:00:00+00:00,526.34375,401.0,49.25,0.0,34.4375,73.0,1084.03125
2020-01-06 11:00:00+00:00,528.21875,343.25,50.9375,0.0,36.3125,65.25,1023.96875
2020-01-06 12:00:00+00:00,477.21875,296.5,46.0,0.0,33.625,111.875,965.21875
2020-01-06 13:00:00+00:00,516.53125,233.0,41.4375,0.0,28.75,88.125,907.84375
2020-01-06 14:00:00+00:00,516.125,177.75,46.5625,0.0,36.3125,65.125,841.875
2020-01-06 15:00:00+00:00,483.53125,165.5,46.9375,0.0,42.25,70.0,808.21875
2020-01-06 16:00:00+00:00,462.46875,191.25,49.5625,0.0,37.875,94.875,836.03125
2020-01-06 17:00:00+00:00,481.59375,205.25,50.0,0.0,35.0625,71.875,843.78125
2020-01-06 18:00:00+00:00,467.21875,255.75,49.9375,0.0,24.625,74.25,871.78125
2020-01-06 19:00:00+00:00,460.90625,288.75,34.8125,0.0,17.9375,75.75,878.15625
2020-01-06 20:00:00+00:00,469.1875,272.25,24.75,0.0,16.5,60.25,842.9375
2020-01-06 21:00:00+00:00,452.28125,288.25,16.875,0.0,12.9375,69.375,839.71875
2020-01-06 22:00:00+00:00,470.84375,322.5,8.0,0.0,12.875,53.75,867.96875
2020-01-06 23:00:00+00:00,461.84375,338.5,4.75,0.0,12.5,57.875,875.46875
2020-01-07 00:00:00+00:00,438.28125,288.5,4.875,0.0,12.875,55.5,800.03125
2020-01-07 01:00:00+00:00,455.96875,105.25,3.0625,0.0,10.8125,8.5,583.59375
2020-01-07 02:00:00+00:00,454.96875,105.25,3.5,0.0,11.875,8.125,583.71875
2020-01-07 03:00:00+00:00,453.375,205.25,5.4375,0.0,13.0,8.875,685.9375
2020-01-07 04:00:00+00:00,456.21875,222.25,4.5625,0.0,13.1875,8.125,704.34375
2020-01-07 05:00:00+00:00,466.90625,238.75,5.5625,0.0,13.6875,12.125,737.03125
2020-01-07 06:00:00+00:00,472.15625,322.5,6.25,0.0,14.0,45.25,860.15625
2020-01-07 11:00:00+00:00,490.84375,358.0,50.0,0.0,41.875,98.125,1038.84375
2020-01-07 12:00:00+00:00,529.90625,246.25,48.9375,0.0,37.6875,72.625,935.40625
2020-01-07 13:00:00+00:00,504.40625,213.25,42.0,0.0,34.0625,96.125,889.84375
2020-01-07 14:00:00+00:00,505.48438,148.25,49.75,0.0,42.6875,81.875,828.04688
2020-01-07 15:00:00+00:00,507.59375,100.0,48.75,0.0,36.8125,67.125,760.28125
2020-01-07 16:00:00+00:00,490.03125,141.25,47.625,0.0,35.875,78.875,793.65625
2020-01-07 18:00:00+00:00,478.46875,205.5,49.3125,0.0,22.75,69.375,825.40625
2020-01-07 19:00:00+00:00,462.09375,221.75,36.1875,0.0,17.875,77.375,815.28125
2020-01-07 20:00:00+00:00,457.54688,172.5,31.375,0.0,16.8125,41.0,719.23438
2020-01-07 21:00:00+00:00,457.21875,105.25,18.0625,0.0,13.0,11.25,604.78125
2020-01-07 22:00:00+00:00,456.21875,122.0,11.4375,0.0,13.1875,8.375,611.21875
2020-01-07 23:00:00+00:00,453.85938,88.75,4.9375,0.0,13.125,9.0,569.67188
2020-01-08 00:00:00+00:00,457.21875,105.25,3.8125,0.0,13.375,7.5,587.15625
2020-01-08 01:00:00+00:00,455.96875,88.25,5.1875,0.0,10.25,8.375,568.03125
2020-01-08 02:00:00+00:00,452.85938,122.25,4.625,0.0,13.8125,8.375,601.92188
2020-01-08 03:00:00+00:00,455.09375,171.5,4.375,0.0,12.4375,7.5,650.90625
2020-01-08 04:00:00+00:00,461.03125,205.5,3.3125,0.0,10.875,8.5,689.21875
2020-01-08 05:00:00+00:00,470.60938,221.75,5.375,0.0,15.75,10.125,723.60938
2020-01-08 06:00:00+00:00,469.71875,308.25,6.75,0.0,17.0625,46.375,848.15625
2020-01-08 07:00:00+00:00,485.65625,409.0,12.0,0.0,16.6875,67.625,990.96875
2020-01-08 12:00:00+00:00,501.98438,293.75,50.5625,0.0,32.125,98.0,976.42188
2020-01-08 13:00:00+00:00,499.90625,209.0,41.5625,0.0,30.8125,98.375,879.65625
2020-01-08 14:00:00+00:00,516.34375,146.25,42.9375,0.0,37.0625,70.5,813.09375
2020-01-08 15:00:00+00:00,479.85938,166.5,43.625,0.0,38.5,77.0,805.48438
2020-01-08 16:00:00+00:00,486.78125,125.0,48.8125,0.0,33.3125,69.5,763.40625
2020-01-08 17:00:00+00:00,474.21875,205.25,49.75,0.0,32.0,75.875,837.09375
2020-01-08 18:00:00+00:00,468.79688,205.25,49.625,0.0,22.1875,77.375,823.23438
2020-01-08 19:00:00+00:00,470.03125,222.0,39.5,0.0,21.5625,67.875,820.96875
2020-01-08 20:00:00+00:00,454.03125,222.25,31.625,0.0,14.9375,50.625,773.46875
2020-01-08 21:00:00+00:00,455.60938,105.25,18.3125,0.0,14.4375,11.0,604.60938
2020-01-08 22:00:00+00:00,461.65625,89.0,11.8125,0.0,13.9375,7.875,584.28125
2020-01-08 23:00:00+00:00,449.34375,71.75,6.3125,0.0,12.4375,8.625,548.46875
2020-01-09 00:00:00+00:00,452.92188,88.75,6.25,0.0,12.6875,9.25,569.85938
2020-01-09 01:00:00+00:00,453.21875,105.25,6.0,0.0,14.0625,8.375,586.90625
2020-01-09 02:00:00+00:00,456.09375,105.25,6.0,0.0,12.9375,8.125,588.40625
2020-01-09 03:00:00+00:00,458.17188,155.0,4.875,0.0,12.75,7.75,638.54688
2020-01-09 04:00:00+00:00,460.34375,255.25,5.4375,0.0,11.6875,7.25,739.96875
2020-01-09 05:00:00+00:00,467.09375,205.25,8.4375,0.0,14.625,12.625,708.03125
2020-01-09 06:00:00+00:00,471.21875,322.5,8.0,0.0,17.6875,41.625,861.03125
2020-01-09 07:00:00+00:00,481.54688,410.0,13.5625,0.0,17.75,65.625,988.48438
2020-01-09 13:00:00+00:00,501.29688,143.0,44.125,0.0,30.0,93.25,811.67188
2020-01-09 14:00:00+00:00,484.96875,129.0,46.625,0.0,35.375,86.625,782.59375
2020-01-09 15:00:00+00:00,468.15625,134.25,39.125,0.0,31.6875,70.875,744.09375
2020-01-09 16:00:00+00:00,465.98438,124.5,43.0,0.0,30.625,71.875,735.98438
2020-01-09 17:00:00+00:00,474.71875,155.25,45.8125,0.0,26.5,74.25,776.53125
2020-01-09 18:00:00+00:00,472.96875,189.0,48.9375,0.0,22.5625,65.75,799.21875
2020-01-09 19:00:00+00:00,460.67188,238.5,39.25,0.0,19.625,72.5,830.54688
2020-01-09 20:00:00+00:00,453.03125,122.0,26.5625,0.0,16.75,46.5,664.84375
2020-01-09 21:00:00+00:00,455.84375,47.5,20.75,0.0,13.0625,7.625,544.78125
2020-01-09 22:00:00+00:00,448.54688,47.0,11.0,0.0,14.0625,8.5,529.10938
2020-01-09 23:00:00+00:00,454.40625,22.25,6.0625,0.0,12.6875,7.375,502.78125
2020-01-10 00:00:00+00:00,442.78125,38.25,5.625,0.0,14.6875,8.5,509.84375
2020-01-10 01:00:00+00:00,448.04688,38.5,6.4375,0.0,13.125,9.25,515.35938
2020-01-10 02:00:00+00:00,449.90625,38.5,6.4375,0.0,14.1875,7.75,516.78125
2020-01-10 03:00:00+00:00,451.71875,105.0,4.5625,0.0,12.75,6.875,580.90625
2020-01-10 04:00:00+00:00,453.21875,188.5,4.5625,0.0,13.5625,9.0,668.84375
2020-01-10 05:00:00+00:00,469.10938,139.25,6.0,0.0,14.25,10.625,639.23438
2020-01-10 06:00:00+00:00,469.65625,190.5,7.625,0.0,16.6875,46.5,730.96875
2020-01-10 07:00:00+00:00,476.09375,344.5,13.625,0.0,18.0,66.125,918.34375
2020-01-10 08:00:00+00:00,526.1719,343.25,33.3125,0.0,24.875,56.75,984.3594
2020-01-10 09:00:00+00:00,508.34375,240.5,51.25,0.0,33.25,97.375,930.71875
2020-01-10 13:00:00+00:00,518.53125,163.0,47.875,0.0,33.4375,68.75,831.59375
2020-01-10 14:00:00+00:00,487.60938,97.25,49.4375,0.0,42.4375,90.75,767.48438
2020-01-10 16:00:00+00:00,492.78125,90.75,50.9375,0.0,40.3125,63.125,737.90625
2020-01-10 19:00:00+00:00,437.59375,11.25,41.4375,0.0,23.25,75.625,589.15625
2020-01-10 20:00:00+00:00,452.04688,11.25,29.8125,0.0,19.9375,39.125,552.17188
2020-01-10 21:00:00+00:00,448.03125,88.5,19.125,0.0,18.25,9.375,583.28125
2020-01-10 22:00:00+00:00,445.34375,14.5,11.8125,0.0,18.3125,6.875,496.84375
2020-01-10 23:00:00+00:00,439.23438,14.75,10.0,0.0,19.1875,7.75,490.92188
2020-01-11 00:00:00+00:00,446.59375,14.25,7.25,0.0,16.9375,7.25,492.28125
2020-01-11 01:00:00+00:00,441.46875,14.0,7.8125,0.0,18.0,8.5,489.78125
2020-01-11 02:00:00+00:00,442.46875,14.75,7.0,0.0,17.0625,9.125,490.40625
2020-01-11 03:00:00+00:00,445.98438,14.25,6.1875,0.0,17.5625,7.75,491.73438
2020-01-11 04:00:00+00:00,448.09375,14.25,7.9375,0.0,17.6875,7.75,495.71875
2020-01-11 05:00:00+00:00,439.59375,14.5,6.6875,0.0,17.6875,9.5,487.96875
2020-01-11 06:00:00+00:00,442.54688,14.25,7.1875,0.0,19.3125,8.375,491.67188
2020-01-11 07:00:00+00:00,445.90625,14.5,6.625,0.0,17.875,8.5,493.40625
2020-01-11 08:00:00+00:00,449.21875,14.25,7.625,0.0,16.9375,6.875,494.90625
2020-01-11 09:00:00+00:00,446.04688,16.25,8.9375,0.0,18.375,9.0,498.60938
2020-01-11 10:00:00+00:00,444.03125,16.75,10.0,0.0,17.25,8.875,496.90625
2020-01-11 11:00:00+00:00,442.65625,16.25,9.4375,0.0,18.375,7.75,494.46875
2020-01-11 12:00:00+00:00,444.54688,16.75,9.125,0.0,19.1875,7.25,496.85938
2020-01-11 13:00:00+00:00,438.28125,16.25,9.4375,0.0,17.875,7.875,489.71875
2020-01-11 14:00:00+00:00,438.34375,17.0,7.0625,0.0,19.3125,7.375,489.09375
2020-01-11 15:00:00+00:00,444.92188,16.5,6.5,0.0,17.4375,6.75,492.10938
2020-01-11 16:00:00+00:00,442.59375,16.75,6.4375,0.0,18.6875,7.75,492.21875
2020-01-11 17:00:00+00:00,446.84375,16.25,5.0,0.0,19.25,8.375,495.71875
2020-01-11 18:00:00+00:00,445.10938,155.75,6.25,0.0,18.375,8.625,634.10938
2020-01-11 19:00:00+00:00,446.65625,72.0,5.875,0.0,16.9375,8.125,549.59375
2020-01-11 20:00:00+00:00,445.59375,88.5,7.3125,0.0,18.4375,8.375,568.21875
2020-01-11 21:00:00+00:00,442.42188,122.25,6.625,0.0,19.9375,8.625,599.85938
2020-01-11 22:00:00+00:00,444.46875,105.25,7.3125,0.0,16.875,7.875,581.78125
2020-01-11 23:00:00+00:00,446.28125,105.75,5.875,0.0,16.6875,8.5,583.09375
2020-01-12 00:00:00+00:00,444.65625,121.75,6.6875,0.0,17.0625,8.5,598.65625
2020-01-12 01:00:00+00:00,441.48438,121.75,6.625,0.0,20.6875,8.125,598.67188
2020-01-12 02:00:00+00:00,444.15625,122.0,5.75,0.0,18.125,8.5,598.53125
2020-01-12 03:00:00+00:00,446.40625,105.5,7.75,0.0,16.1875,8.375,584.21875
2020-01-12 04:00:00+00:00,446.67188,138.25,5.625,0.0,17.25,8.0,615.79688
2020-01-12 05:00:00+00:00,442.28125,155.25,7.3125,0.0,17.5625,8.0,630.40625
2020-01-12 06:00:00+00:00,448.40625,105.25,6.375,0.0,16.625,7.75,584.40625
2020-01-12 07:00:00+00:00,444.92188,138.75,5.1875,0.0,19.125,8.375,616.35938
2020-01-12 08:00:00+00:00,442.59375,122.25,7.25,0.0,18.375,7.875,598.34375
2020-01-12 09:00:00+00:00,445.21875,138.5,6.5625,0.0,19.0,8.25,617.53125
2020-01-12 10:00:00+00:00,442.29688,138.75,5.75,0.0,19.0625,7.5,613.35938
2020-01-12 11:00:00+00:00,438.28125,105.25,6.5625,0.0,18.4375,8.875,577.40625
2020-01-12 12:00:00+00:00,440.09375,121.75,5.5625,0.0,18.0,7.0,592.40625
2020-01-12 13:00:00+00:00,429.17188,55.75,6.5625,0.0,19.375,7.125,517.98438
2020-01-12 14:00:00+00:00,438.84375,72.0,6.75,0.0,19.1875,7.625,544.40625
2020-01-12 15:00:00+00:00,445.59375,38.75,5.9375,0.0,23.375,7.25,520.90625
2020-01-12 16:00:00+00:00,448.29688,38.75,6.3125,0.0,22.3125,8.125,523.79688
2020-01-12 17:00:00+00:00,446.21875,39.0,6.3125,0.0,23.375,8.125,523.03125
2020-01-12 18:00:00+00:00,444.46875,88.5,6.25,0.0,24.375,7.5,571.09375
2020-01-12 19:00:00+00:00,447.10938,122.0,5.625,0.0,24.0,8.375,607.10938
2020-01-12 20:00:00+00:00,444.21875,122.25,6.375,0.0,22.125,8.5,603.46875
2020-01-12 21:00:00+00:00,443.09375,88.5,7.0,0.0,21.4375,7.375,567.40625
2020-01-12 22:00:00+00:00,443.46875,105.5,6.875,0.0,17.5625,8.75,582.15625
2020-01-12 23:00:00+00:00,445.67188,138.5,6.5625,0.0,18.125,7.75,616.60938
2020-01-13 00:00:00+00:00,450.09375,105.5,5.625,0.0,17.125,8.625,586.96875
2020-01-13 01:00:00+00:00,440.84375,155.0,5.875,0.0,18.75,8.5,628.96875
2020-01-13 02:00:00+00:00,445.23438,139.25,6.5,0.0,17.625,9.0,617.60938
2020-01-13 03:00:00+00:00,446.65625,206.25,6.3125,0.0,17.5,11.125,687.84375
2020-01-13 04:00:00+00:00,445.71875,288.75,5.5,0.0,20.5625,11.75,772.28125
2020-01-13 05:00:00+00:00,460.98438,238.75,8.75,0.0,19.5625,12.75,740.79688
2020-01-13 06:00:00+00:00,460.96875,390.75,8.6875,0.0,19.4375,43.0,922.84375
2020-01-13 10:00:00+00:00,517.03125,379.5,51.375,0.0,42.125,75.375,1065.40625
2020-01-13 11:00:00+00:00,492.92188,309.75,49.5625,0.0,45.8125,91.75,989.79688
2020-01-13 12:00:00+00:00,479.21875,297.75,47.0625,0.0,57.6875,92.125,973.84375
2020-01-13 13:00:00+00:00,500.15625,201.75,47.0625,0.0,48.9375,74.625,872.53125
2020-01-13 14:00:00+00:00,485.92188,199.5,48.5625,0.0,59.25,83.625,876.85938
2020-01-13 15:00:00+00:00,449.15625,182.75,47.6875,0.0,60.5,90.625,830.71875
2020-01-13 19:00:00+00:00,450.65625,272.0,37.125,0.0,38.125,68.25,866.15625
2020-01-13 20:00:00+00:00,429.59375,239.0,31.5,0.0,35.6875,48.375,784.15625
2020-01-13 21:00:00+00:00,432.60938,72.5,18.4375,0.0,31.4375,10.375,565.35938
2020-01-13 22:00:00+00:00,435.53125,105.25,9.4375,0.0,30.1875,7.75,588.15625
2020-01-13 23:00:00+00:00,429.96875,72.5,4.3125,0.0,30.6875,9.0,546.46875
2020-01-14 00:00:00+00:00,435.35938,88.25,4.9375,0.0,28.0625,7.75,564.35938
2020-01-14 01:00:00+00:00,432.71875,122.25,4.25,0.0,31.125,7.75,598.09375
2020-01-14 02:00:00+00:00,428.53125,105.25,4.875,0.0,29.25,8.875,576.78125
2020-01-14 03:00:00+00:00,433.67188,188.5,3.1875,0.0,29.5,8.625,663.48438
2020-01-14 04:00:00+00:00,435.28125,238.75,3.8125,0.0,29.25,7.125,714.21875
2020-01-14 05:00:00+00:00,444.03125,239.0,5.4375,0.0,30.25,13.625,732.34375
2020-01-14 06:00:00+00:00,457.92188,372.75,6.5625,0.0,33.9375,37.5,908.67188
2020-01-14 11:00:00+00:00,489.34375,292.5,49.3125,0.0,57.875,86.25,975.28125
2020-01-14 12:00:00+00:00,504.54688,230.75,46.0,0.0,55.0,77.875,914.17188
2020-01-14 13:00:00+00:00,485.59375,96.25,40.875,0.0,51.1875,95.5,769.40625
2020-01-14 14:00:00+00:00,471.78125,97.5,44.875,0.0,60.4375,91.125,765.71875
2020-01-14 15:00:00+00:00,465.40625,114.25,44.125,0.0,57.8125,72.125,753.71875
2020-01-14 16:00:00+00:00,475.85938,90.25,45.4375,0.0,55.875,62.875,730.29688
2020-01-14 18:00:00+00:00,443.65625,105.25,50.5625,0.0,43.125,84.125,726.71875
2020-01-14 19:00:00+00:00,446.79688,155.25,44.75,0.0,36.5,66.5,749.79688
2020-01-14 20:00:00+00:00,439.53125,122.0,29.0,0.0,33.625,40.0,664.15625
2020-01-14 21:00:00+00:00,425.78125,38.5,18.375,0.0,36.4375,10.375,529.46875
2020-01-14 22:00:00+00:00,427.73438,13.5,12.0625,0.0,33.375,11.5,498.17188
2020-01-14 23:00:00+00:00,433.46875,13.5,10.0,0.0,32.8125,6.75,496.53125
2020-01-15 00:00:00+00:00,430.15625,13.5,5.375,0.0,31.25,7.875,488.15625
2020-01-15 01:00:00+00:00,429.17188,13.75,4.75,0.0,30.375,8.375,486.42188
2020-01-15 02:00:00+00:00,430.90625,71.75,3.4375,0.0,31.875,9.0,546.96875
2020-01-15 03:00:00+00:00,431.21875,72.0,4.75,0.0,31.0,8.375,547.34375
2020-01-15 04:00:00+00:00,436.42188,138.25,3.8125,0.0,32.4375,6.625,617.54688
2020-01-15 05:00:00+00:00,441.40625,56.0,5.0,0.0,33.0625,12.5,547.96875
2020-01-15 06:00:00+00:00,451.59375,225.0,7.1875,0.0,34.25,43.875,761.90625
2020-01-15 07:00:00+00:00,474.04688,247.25,13.1875,0.0,37.8125,56.0,828.29688
2020-01-15 08:00:00+00:00,490.15625,219.5,31.4375,0.0,40.3125,75.875,857.28125
